age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,target
56,admin.,married,basic.9y,no,yes,no,cellular,aug,wed,73,1,4,1,success,-2.9,92.201,-31.4,0.879,5076.2,1
52,admin.,single,university.degree,no,yes,no,cellular,jun,mon,327,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,1
45,housemaid,married,basic.4y,no,no,no,cellular,aug,wed,188,5,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
32,management,single,university.degree,no,no,no,telephone,may,tue,237,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
32,technician,single,university.degree,no,yes,yes,cellular,nov,fri,1162,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
50,services,divorced,high.school,no,no,yes,cellular,may,wed,178,5,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,0
55,technician,married,professional.course,no,yes,no,cellular,aug,thu,86,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
59,self-employed,married,professional.course,unknown,no,no,cellular,nov,fri,383,4,999,1,failure,-0.1,93.2,-42,4.021,5195.8,0
31,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,122,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0
36,technician,divorced,professional.course,no,yes,no,cellular,aug,thu,106,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
56,unemployed,divorced,high.school,unknown,yes,no,cellular,nov,fri,109,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8,0
38,admin.,married,university.degree,no,yes,no,cellular,aug,tue,748,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
46,blue-collar,married,basic.6y,no,yes,no,cellular,aug,fri,119,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
33,admin.,married,university.degree,no,yes,no,telephone,nov,wed,241,1,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1
33,technician,married,professional.course,unknown,yes,no,cellular,aug,mon,303,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
36,admin.,divorced,university.degree,no,no,no,telephone,may,thu,241,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
46,admin.,divorced,university.degree,no,unknown,unknown,cellular,nov,thu,257,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
56,services,married,high.school,unknown,no,no,telephone,may,fri,331,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
57,unknown,married,unknown,unknown,yes,no,cellular,aug,mon,81,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0
37,self-employed,single,basic.4y,no,yes,no,cellular,may,mon,180,3,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,0
71,retired,divorced,basic.4y,no,no,yes,cellular,apr,thu,214,1,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,0
37,admin.,married,high.school,no,yes,no,telephone,may,mon,115,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
42,technician,married,professional.course,no,no,no,cellular,may,wed,194,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
38,management,married,university.degree,no,no,no,telephone,may,fri,32,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
50,services,married,high.school,no,yes,no,cellular,apr,mon,12,6,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
47,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,fri,96,8,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
36,blue-collar,married,unknown,unknown,no,no,telephone,may,thu,230,7,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
42,management,divorced,university.degree,unknown,yes,no,cellular,jul,mon,141,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
43,admin.,married,unknown,no,yes,no,telephone,jun,fri,246,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
34,services,married,high.school,unknown,yes,no,telephone,may,wed,189,7,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
52,housemaid,married,unknown,no,yes,no,cellular,aug,fri,239,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
28,blue-collar,married,basic.6y,no,no,no,telephone,jul,tue,36,1,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,0
37,admin.,married,university.degree,no,no,no,cellular,aug,tue,85,12,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
33,admin.,single,university.degree,no,no,no,cellular,aug,thu,277,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
28,self-employed,single,high.school,no,no,no,cellular,jul,thu,63,6,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
26,self-employed,single,professional.course,no,yes,no,cellular,jul,thu,71,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
31,admin.,single,basic.9y,unknown,yes,no,cellular,jul,tue,124,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
37,admin.,married,high.school,unknown,no,no,telephone,may,mon,74,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
50,blue-collar,married,basic.4y,no,no,no,telephone,may,wed,304,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
28,services,single,high.school,no,no,no,telephone,may,thu,137,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
56,housemaid,married,basic.9y,no,no,no,cellular,nov,thu,86,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
37,entrepreneur,married,basic.9y,unknown,yes,no,cellular,jul,fri,658,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1
30,management,married,university.degree,no,yes,no,cellular,apr,thu,271,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
27,self-employed,single,university.degree,no,unknown,unknown,cellular,aug,mon,130,2,999,1,failure,-2.9,92.201,-31.4,0.861,5076.2,0
28,technician,single,professional.course,no,no,no,cellular,jun,wed,411,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1
36,housemaid,married,basic.4y,no,yes,no,telephone,may,wed,128,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
31,services,married,high.school,no,yes,no,cellular,may,tue,398,6,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,1
32,admin.,single,university.degree,no,no,no,telephone,jun,tue,94,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
56,retired,married,university.degree,no,no,no,cellular,aug,wed,388,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
29,services,single,high.school,no,yes,no,telephone,may,mon,425,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
34,blue-collar,married,basic.9y,unknown,yes,yes,telephone,may,mon,100,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
50,technician,married,professional.course,no,yes,no,cellular,aug,thu,122,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
42,technician,married,professional.course,no,yes,no,telephone,may,wed,280,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
46,admin.,divorced,high.school,no,no,yes,cellular,jul,wed,400,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
37,services,married,high.school,no,no,no,cellular,may,thu,262,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
39,unemployed,single,university.degree,no,yes,no,cellular,dec,mon,387,1,6,2,success,-3,92.713,-33,0.706,5023.5,1
32,blue-collar,married,basic.6y,no,yes,no,cellular,jul,wed,158,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
44,management,married,unknown,no,no,no,telephone,apr,tue,473,2,999,1,failure,-1.8,93.749,-34.6,0.646,5008.7,1
52,admin.,married,high.school,no,yes,no,cellular,nov,wed,130,2,999,1,failure,-0.1,93.2,-42,4.12,5195.8,0
49,entrepreneur,married,high.school,unknown,yes,no,cellular,nov,thu,611,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
44,entrepreneur,divorced,university.degree,no,yes,no,telephone,may,mon,28,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
38,admin.,divorced,university.degree,no,no,no,cellular,may,mon,79,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
36,admin.,married,university.degree,no,no,no,cellular,aug,mon,123,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,fri,115,6,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
39,management,divorced,university.degree,no,yes,no,cellular,jul,tue,732,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1
38,unknown,married,unknown,unknown,yes,no,telephone,may,thu,270,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
44,technician,married,unknown,no,no,yes,cellular,oct,tue,139,2,999,0,nonexistent,-3.4,92.431,-26.9,0.728,5017.5,0
31,services,married,high.school,no,yes,no,cellular,may,wed,611,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,1
32,services,married,high.school,unknown,yes,no,cellular,may,mon,536,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,1
27,unknown,single,high.school,unknown,yes,yes,cellular,may,mon,628,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
34,technician,single,university.degree,no,no,no,cellular,mar,mon,180,2,999,0,nonexistent,-1.8,92.843,-50,1.52,5099.1,1
27,technician,single,university.degree,no,yes,no,cellular,dec,tue,305,3,10,1,success,-3,92.713,-33,0.708,5023.5,1
57,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,wed,71,5,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
39,services,married,unknown,unknown,no,no,cellular,jul,wed,146,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
30,admin.,married,unknown,no,no,no,cellular,jul,mon,220,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
54,admin.,single,university.degree,no,yes,no,cellular,may,mon,485,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,0
49,blue-collar,married,unknown,unknown,unknown,unknown,cellular,jul,mon,375,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
38,blue-collar,married,basic.9y,no,no,no,cellular,nov,thu,738,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
56,services,married,high.school,unknown,yes,no,cellular,may,fri,169,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0
41,self-employed,married,university.degree,no,no,no,cellular,aug,thu,314,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
18,student,single,unknown,no,yes,no,telephone,may,tue,421,1,3,1,success,-1.8,93.876,-40,0.668,5008.7,1
43,blue-collar,married,unknown,unknown,no,no,telephone,may,fri,512,6,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
32,admin.,single,university.degree,no,no,no,cellular,aug,tue,1613,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1
47,technician,married,professional.course,no,no,no,telephone,jun,tue,19,20,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
28,management,married,university.degree,no,yes,no,telephone,jun,wed,695,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,1
48,technician,married,basic.4y,unknown,no,no,cellular,nov,fri,362,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
34,services,married,high.school,no,yes,no,cellular,nov,tue,78,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
26,blue-collar,single,basic.9y,no,no,no,cellular,jul,wed,1139,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1
53,services,married,high.school,no,yes,no,cellular,aug,wed,406,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,1
41,admin.,married,high.school,no,yes,yes,telephone,may,thu,223,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
45,admin.,married,unknown,no,no,no,cellular,jun,fri,438,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,1
42,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,fri,1098,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1
42,technician,married,professional.course,no,yes,no,cellular,aug,tue,607,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,1
58,housemaid,married,basic.9y,no,no,no,cellular,aug,thu,54,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
42,admin.,married,unknown,no,no,no,cellular,apr,fri,952,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,1
31,admin.,single,university.degree,no,no,yes,telephone,may,thu,515,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
42,admin.,married,university.degree,no,yes,no,cellular,aug,thu,121,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
48,admin.,married,high.school,no,no,no,cellular,aug,thu,663,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,1
30,unemployed,married,basic.9y,no,yes,no,cellular,nov,thu,114,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
39,blue-collar,single,unknown,unknown,no,no,telephone,may,tue,181,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
37,management,single,basic.9y,no,no,no,cellular,may,mon,261,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
35,admin.,married,university.degree,no,yes,no,cellular,aug,tue,344,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
49,entrepreneur,married,basic.4y,unknown,no,no,telephone,jun,thu,285,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
38,blue-collar,married,basic.4y,no,yes,yes,telephone,jun,fri,11,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
35,technician,married,unknown,no,yes,no,cellular,jul,thu,502,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
23,management,single,university.degree,no,yes,no,cellular,apr,mon,122,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,1
32,services,divorced,high.school,no,no,no,cellular,may,thu,97,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0
27,student,single,university.degree,no,no,no,cellular,aug,wed,180,1,3,3,success,-1.7,94.027,-38.3,0.9,4991.6,1
26,services,single,high.school,no,no,no,telephone,may,fri,155,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
34,technician,single,university.degree,no,yes,no,telephone,jul,thu,202,5,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
51,admin.,married,basic.4y,unknown,no,no,cellular,may,tue,142,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,0
37,blue-collar,married,professional.course,no,yes,no,cellular,may,mon,68,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
37,technician,married,high.school,no,no,no,cellular,aug,thu,294,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
30,admin.,married,university.degree,no,no,no,cellular,jul,fri,70,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
42,technician,married,basic.6y,no,no,no,cellular,nov,tue,166,2,999,1,failure,-0.1,93.2,-42,4.153,5195.8,0
34,management,married,university.degree,unknown,yes,no,cellular,may,thu,383,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
30,admin.,single,university.degree,no,yes,no,telephone,apr,tue,563,2,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0
72,retired,married,professional.course,no,no,no,cellular,mar,fri,87,1,3,1,success,-1.8,93.369,-34.8,0.653,5008.7,1
